username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
Journeyman Pictures,/user/journeymanpictures,Uncovering Child Abuse In The Catholic Church,19K,19K views,/watch?v=03Z5s6xRMaE,"Sins Of The Fathers (2002): In the greatest crisis in the history of the US Roman Catholic Church, the church hierarchy stands ...",05:55.7
9NEWS,/user/9newsdenver,New report details sexual abuse in Catholic church,443,443 views,/watch?v=fMIenHhry-o,The report will make public additional allegations of child sexual abuse by Catholic priests in Colorado since 1950. The first report ...,06:02.2
Catholic Answers,/user/catholiccom,What Is the Solution to the Church's Sex Scandals?,3.8K,3.8K views,/watch?v=2udkv5fR77g,The Biblical Roots of the Catholic Church (Incarnate Word Media) and The Biblical Roots of the Mass (Sophia Institute Press).,06:02.2
ROME REPORTS in English,/user/romereports,What changed in the Church after allegations of abuse were published in the Boston Globe?,4.9K,4.9K views,/watch?v=2H54L39GTwA,"Reporting on the Catholic Church requires proximity to the source, in-depth knowledge of the Institution, and a high standard of ...",06:02.2
Bible Flock Box,/user/BibleFlockBox2,SHOCKING Scandal ROCKS Roman Catholic Church in Poland,29K,29K views,/watch?v=mf6tRyRDxFc,"A documentary video entitled ""Tell No One"" has exposed a shocking sex abuse scandal that has rocked the Roman Catholic ...",06:02.2
vaticanexposed,/user/vaticanexposed,Priest Sex Abuse Scandal Ireland : Damning Report into Abusive...,16K,16K views,/watch?v=3xcFFjjYaxk,Damning Report into Abusive Priests in Dublin Archdiocese www.vaticancrimes.us VaticanCrimes.us brings you the latest news ...,06:02.2
Grosscrime,/user/Grosscrime,Catholic abuse scandal 3.mp4,706,706 views,/watch?v=xDuL8PmBLsw,Four Irish bishops tendered their resignations in the wake of the government-backed report. The pope has been under fire since it ...,06:02.2
CBS Chicago,/user/CBSChicago,Catholic Bishops To Pray Over Clergy Sexual Abuse Scandal,196,196 views,/watch?v=ESBlFtvvRXU,U.S.-based Roman Catholic bishops will gather Wednesday for a weeklong retreat near Chicago on the church sexual abuse ...,06:02.2
Bishop Robert Barron,/user/wordonfirevideo,Bishop Barron Q&A about the Sexual Abuse Crisis,186K,186K views,/watch?v=ncMEXr60AeI,"Friends, many of you have asked for my thoughts on the McCarrick abuse crisis, the Pennsylvania grand jury report, and the ...",06:02.2
Rebel HQ,/channel/UCuMo0RRtnNDuMB8DV5stEag,GOP Corruption RAMPANT In Catholic Church Abuse Scandal,4.5K,4.5K views,/watch?v=Fsgwprs3fFo,Don't forget to tell us your thoughts in the comment section below! *** Subscribe to Rebel HQ on YouTube: ...,06:02.2
NBC News,/user/NBCNews,Pope Francis Protested In Ireland Amid Church Sex Abuse Scandal | NBC Nightly News,17K,17K views,/watch?v=1pQt4ls4eak,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",06:02.2
News 19 WLTX,/user/News19WLTX,Timeline of Catholic Church Scandal,336,336 views,/watch?v=3JiB5-mVhP0,For the past several weeks... the Roman Catholic Church has been dealing with repeated criticism of a sexual abuse scandal ...,06:02.2
Living Waters,/user/thewayofthemaster,Big news on the Catholic sex abuse scandal,9.5K,9.5K views,/watch?v=X5vsTvHlzuI,Watch more free videos and get other resources by Ray Comfort and Living Waters at http://www.LivingWaters.com.,06:02.2
One America News Network,/user/1americanews,Roman Catholic Bishops take no action on abuse scandal,3.6K,3.6K views,/watch?v=motANRT3ekI,Roman Catholic Bishops in the U.S. were unable to take action on accountability measures concerning the abuse of minors by ...,06:02.2
CBS Evening News,/user/CBSEveningNews,"Catholic Church's ""secret archives"" detail how abuse was concealed",58K,58K views,/watch?v=ZiF22pY3CHg,New details are emerging about how Catholic Church leaders protected priests accused of sex abuse for decades. Documents ...,06:02.2
WJZ,/user/CBSBaltimore,Victim Of Notorious Baltimore Priest Says Police Were In On Sexual Abuse,19K,19K views,/watch?v=bR6p8wN2dD4,Denise Koch reports.,06:02.2
TMJ4 News,/user/todaystmj4,Movie About Catholic Priest Sex Abuse Scandal Makes US Premiere In Milwaukee,6.5K,6.5K views,/watch?v=JcpOtJ8jc8Q,Cody Holyoke reports.,06:02.2
StartLoving3,/user/StartLoving3,Rachel Maddow- Sinead OConnor on Catholic Church abuse scandal,10K,10K views,/watch?v=JmmKg5JxTNo,,06:02.2
BBC News,/user/bbcnews,India : Catholic Church hit by allegations of sexual abuse - BBC News,54K,54K views,/watch?v=5r3uMIBhJwE,"The Catholic Church has been hit by allegations of sexual abuse in India, after a nun in the country accused a Bishop of raping ...",06:02.2
